,Season,Name,Salary,Pos,Age,Team,GP,GS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,GS/GP,MPG,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PFPG,PPG,FGPG,FGAPG,3PPG,3PAPG,2PPG,2PAPG,FTPG,FTAPG,Cap,% of Cap
7278,2008.0,Matt Harpring,6000000.0,3.0,31.0,UTA,76.0,0.0,14.1,0.551,0.021,0.43200000000000005,8.6,12.7,10.7,9.0,1.7,0.8,14.4,21.5,1.4,1.4,2.8,0.096,-0.8,-0.7,-1.5,0.2,0.5,0.2,0.506,0.502,0.7120000000000001,0.0,18.07894736842105,1.263157894736842,1.894736842105263,3.1578947368421053,1.0789473684210527,0.5921052631578947,0.18421052631578946,1.25,2.1315789473684212,8.18421052631579,3.1184210526315788,6.2368421052631575,0.02631578947368421,0.13157894736842105,3.0921052631578947,6.105263157894737,1.9210526315789473,2.6973684210526314,58680000,10.224948875255624
7284,2008.0,Maurice Evans,2500000.0,2.0,29.0,ORL,68.0,47.0,14.0,0.579,0.391,0.132,6.5,8.2,7.4,6.9,1.3,0.4,6.8,16.6,3.1,1.5,4.6,0.135,2.0,-0.6,1.4,1.4,0.489,0.396,0.5489999999999999,0.5670000000000001,0.691,0.6911764705882353,23.88235294117647,1.2941176470588236,1.7794117647058822,3.073529411764706,1.0147058823529411,0.6029411764705882,0.1323529411764706,0.5882352941176471,1.9411764705882353,9.308823529411764,3.7205882352941178,7.602941176470588,1.1764705882352942,2.9705882352941178,2.5441176470588234,4.632352941176471,0.6911764705882353,1.0,58680000,4.260395364689843
7285,2008.0,Mehmet Okur,8500000.0,5.0,28.0,UTA,72.0,72.0,15.2,0.556,0.35,0.273,6.8,21.5,14.2,9.0,1.2,1.0,9.9,19.6,4.0,2.7,6.7,0.134,1.7,0.0,1.7,2.3,0.445,0.38799999999999996,0.475,0.512,0.804,1.0,33.19444444444444,1.8333333333333333,5.888888888888889,7.722222222222222,2.013888888888889,0.7638888888888888,0.4027777777777778,1.4444444444444444,3.2777777777777777,14.541666666666666,5.194444444444445,11.680555555555555,1.5833333333333333,4.083333333333333,3.611111111111111,7.597222222222222,2.5694444444444446,3.1944444444444446,58680000,14.485344239945466
7286,2008.0,Melvin Ely,998398.0,5.0,29.0,NOP,52.0,1.0,9.0,0.491,0.0,0.322,5.1,22.6,13.6,5.4,0.6,2.3,17.0,18.5,-0.5,0.8,0.3,0.022000000000000002,-6.2,0.1,-6.0,-0.6,0.47200000000000003,0.0,0.47200000000000003,0.47200000000000003,0.552,0.019230769230769232,11.942307692307692,0.5384615384615384,2.25,2.7884615384615383,0.4230769230769231,0.1346153846153846,0.34615384615384615,0.8076923076923077,1.5192307692307692,3.8846153846153846,1.6346153846153846,3.4615384615384617,0.0,0.0,1.6346153846153846,3.4615384615384617,0.6153846153846154,1.1153846153846154,58680000,1.701428084526244
7289,2008.0,Michael Finley,2500000.0,2.0,34.0,SAS,82.0,61.0,11.4,0.519,0.469,0.105,1.5,12.0,6.8,8.6,0.7,0.3,6.6,18.5,1.3,2.9,4.2,0.091,-0.6,-0.4,-1.0,0.5,0.414,0.37,0.45299999999999996,0.501,0.8,0.7439024390243902,26.878048780487806,0.32926829268292684,2.768292682926829,3.097560975609756,1.3902439024390243,0.35365853658536583,0.12195121951219512,0.6829268292682927,1.1341463414634145,10.073170731707316,3.841463414634146,9.28048780487805,1.6097560975609757,4.353658536585366,2.231707317073171,4.926829268292683,0.7804878048780488,0.975609756097561,58680000,4.260395364689843
7290,2008.0,Michael Redd,15780000.0,2.0,28.0,MIL,72.0,71.0,18.8,0.5589999999999999,0.289,0.39399999999999996,3.5,10.2,6.7,16.4,1.3,0.4,11.0,27.3,5.6,0.2,5.8,0.10400000000000001,3.4,-2.9,0.5,1.7,0.442,0.36200000000000004,0.475,0.495,0.82,0.9861111111111112,37.52777777777778,1.1805555555555556,3.111111111111111,4.291666666666667,3.4305555555555554,0.9027777777777778,0.18055555555555555,2.513888888888889,1.6666666666666667,22.666666666666668,7.638888888888889,17.26388888888889,1.8055555555555556,4.986111111111111,5.833333333333333,12.277777777777779,5.583333333333333,6.805555555555555,58680000,26.89161554192229
7291,2008.0,Michael Ruffin,1141838.0,5.0,31.0,MIL,46.0,2.0,12.1,0.507,0.0,1.016,16.1,18.6,17.3,5.3,2.6,2.4,17.5,7.7,0.7,0.6,1.2,0.095,-1.2,2.0,0.8,0.4,0.532,0.0,0.532,0.532,0.397,0.043478260869565216,13.73913043478261,1.9565217391304348,2.0869565217391304,4.043478260869565,0.5217391304347826,0.6739130434782609,0.41304347826086957,0.41304347826086957,2.0217391304347827,1.9782608695652173,0.717391304347826,1.3478260869565217,0.0,0.0,0.717391304347826,1.3478260869565217,0.5434782608695652,1.3695652173913044,58680000,1.9458725289706884
7293,2008.0,Mickael Pietrus,5300000.0,3.0,25.0,GSW,66.0,16.0,12.7,0.5489999999999999,0.473,0.253,5.2,14.8,9.8,5.1,2.4,2.4,10.0,15.3,1.4,1.4,2.8,0.10400000000000001,-0.2,0.5,0.3,0.8,0.439,0.361,0.51,0.525,0.6729999999999999,0.24242424242424243,19.939393939393938,1.0151515151515151,2.6515151515151514,3.6666666666666665,0.7424242424242424,1.0,0.6515151515151515,0.7272727272727273,3.0303030303030303,7.151515151515151,2.5757575757575757,5.863636363636363,1.0,2.772727272727273,1.5757575757575757,3.090909090909091,1.0,1.4848484848484849,58680000,9.032038173142467
7296,2008.0,Mike Bibby,14983603.0,1.0,29.0,ATL,33.0,32.0,14.9,0.526,0.455,0.168,0.5,10.4,5.5,32.9,1.7,0.1,15.5,21.5,1.1,0.6,1.7,0.076,1.7,-2.6,-0.8,0.3,0.414,0.369,0.451,0.498,0.797,0.9696969696969697,33.333333333333336,0.15151515151515152,3.0,3.1515151515151514,6.515151515151516,1.0606060606060606,0.06060606060606061,2.4545454545454546,1.9090909090909092,14.06060606060606,5.151515151515151,12.454545454545455,2.090909090909091,5.666666666666667,3.0606060606060606,6.787878787878788,1.6666666666666667,2.090909090909091,58680000,25.534429107021133
7297,2008.0,Mike Conley,3630480.0,1.0,20.0,MEM,53.0,46.0,12.6,0.502,0.20600000000000002,0.278,1.7,9.7,5.6,25.3,1.6,0.1,15.2,18.8,0.6,0.5,1.1,0.038,-1.1,-1.8,-3.0,-0.3,0.428,0.33,0.45299999999999996,0.462,0.732,0.8679245283018868,26.056603773584907,0.39622641509433965,2.2264150943396226,2.6226415094339623,4.188679245283019,0.8301886792452831,0.03773584905660377,1.679245283018868,1.6037735849056605,9.39622641509434,3.5660377358490565,8.339622641509434,0.5660377358490566,1.7169811320754718,3.0,6.622641509433962,1.6981132075471699,2.3207547169811322,58680000,6.186912065439673
